DATE,TICKER,PER,TIME,OPEN,HIGH,LOW,CLOSE,VOL
2013-01-08,GAZP,D,0,146.2,147.96,145.64,147.9,25194460
2013-01-09,GAZP,D,0,147.27,149.05,147.15,148.91,29495030
2013-01-10,GAZP,D,0,149.0,149.51,147.3,147.6,22687230
2013-01-11,GAZP,D,0,147.7,148.69,147.4,147.97,19645680
2013-01-14,GAZP,D,0,148.55,149.85,148.2,149.6,28624470
2013-01-15,GAZP,D,0,149.32,149.6,147.71,147.73,25909670
2013-01-16,GAZP,D,0,147.67,148.4,146.03,146.42,31561980
2013-01-17,GAZP,D,0,146.5,148.23,146.37,147.7,31752360
2013-01-18,GAZP,D,0,148.4,149.23,148.13,148.42,27574060
2013-01-21,GAZP,D,0,148.41,148.7,146.64,147.74,19778150
2013-01-22,GAZP,D,0,147.9,148.14,145.41,145.84,28664340
2013-01-23,GAZP,D,0,146.25,146.94,145.6,146.67,23636620
2013-01-24,GAZP,D,0,146.4,146.63,144.85,146.14,23624260
2013-01-25,GAZP,D,0,146.14,146.78,145.06,146.4,22435850
2013-01-28,GAZP,D,0,146.87,147.99,146.17,147.22,29065400
2013-01-29,GAZP,D,0,147.2,147.2,145.7,145.91,27541450
2013-01-30,GAZP,D,0,146.55,147.17,143.15,143.85,38964310
2013-01-31,GAZP,D,0,143.64,143.67,141.27,142.09,37656240
2013-02-01,GAZP,D,0,142.44,143.47,141.87,142.28,27053180
2013-02-04,GAZP,D,0,142.8,143.19,140.62,141.47,23272680
2013-02-05,GAZP,D,0,141.1,141.66,140.21,141.37,21516420
2013-02-06,GAZP,D,0,142.0,142.19,139.45,139.91,37600200
2013-02-07,GAZP,D,0,140.23,140.27,138.52,138.91,27209820
2013-02-08,GAZP,D,0,139.3,139.34,136.8,137.68,44541100
2013-02-11,GAZP,D,0,137.8,137.95,135.05,135.29,37869130
2013-02-12,GAZP,D,0,135.02,135.08,133.15,133.3,46262900
2013-02-13,GAZP,D,0,133.95,137.84,133.42,137.15,81475180
2013-02-14,GAZP,D,0,137.2,138.2,133.55,134.2,54783730
2013-02-15,GAZP,D,0,134.2,134.57,131.72,133.99,38229780
2013-02-18,GAZP,D,0,134.0,136.2,133.3,135.9,36644590
2013-02-19,GAZP,D,0,136.0,137.86,135.73,137.55,42774610
2013-02-20,GAZP,D,0,137.98,137.98,136.52,137.06,34031250
2013-02-21,GAZP,D,0,135.76,136.2,134.61,136.0,35621840
2013-02-22,GAZP,D,0,136.32,137.13,136.0,136.81,23939270
2013-02-25,GAZP,D,0,137.05,138.47,136.55,138.03,26757390
2013-02-26,GAZP,D,0,136.5,137.19,135.5,136.5,23406630
2013-02-27,GAZP,D,0,136.9,138.52,136.33,137.6,37454170
2013-02-28,GAZP,D,0,138.36,138.4,136.52,137.4,30400410
2013-03-01,GAZP,D,0,136.74,136.94,133.98,134.75,40674820
2013-03-04,GAZP,D,0,134.22,135.38,132.65,133.03,52298330
2013-03-05,GAZP,D,0,133.53,136.46,132.54,136.45,47943220
2013-03-06,GAZP,D,0,136.5,137.32,134.72,134.85,35293070
2013-03-07,GAZP,D,0,134.97,135.75,133.37,133.73,27301820
2013-03-11,GAZP,D,0,135.02,136.95,134.86,136.6,43251580
2013-03-12,GAZP,D,0,136.8,137.44,135.86,137.25,31665110
2013-03-13,GAZP,D,0,136.9,141.79,136.6,140.56,83301120
2013-03-14,GAZP,D,0,140.5,142.5,140.0,142.08,65147620
2013-03-15,GAZP,D,0,142.81,144.82,142.58,144.5,95451050
2013-03-18,GAZP,D,0,142.97,144.37,140.85,144.28,66361820
2013-03-19,GAZP,D,0,144.4,145.95,142.05,142.34,46702040
2013-03-20,GAZP,D,0,141.87,142.5,140.66,142.09,40692710
2013-03-21,GAZP,D,0,142.62,143.88,142.0,142.32,36385070
2013-03-22,GAZP,D,0,142.05,142.25,140.0,140.18,29735430
2013-03-25,GAZP,D,0,140.91,142.35,138.3,138.6,35709610
2013-03-26,GAZP,D,0,138.96,139.48,136.5,136.58,37803470
2013-03-27,GAZP,D,0,137.41,137.64,134.04,136.36,39780390
2013-03-28,GAZP,D,0,135.42,135.66,131.98,133.17,76130710
2013-03-29,GAZP,D,0,133.83,134.16,133.11,134.08,16481190
2013-04-01,GAZP,D,0,133.88,134.48,132.63,132.85,16448900
2013-04-02,GAZP,D,0,133.01,133.44,130.81,130.81,42156920
2013-04-03,GAZP,D,0,130.95,131.7,129.87,130.38,47230250
2013-04-04,GAZP,D,0,129.29,132.88,128.77,131.29,57385380
2013-04-05,GAZP,D,0,131.01,131.85,129.76,130.5,44789420
2013-04-08,GAZP,D,0,131.07,132.16,128.92,129.01,30762330
2013-04-09,GAZP,D,0,129.99,131.2,129.16,130.42,31426320
2013-04-10,GAZP,D,0,131.13,131.85,128.73,129.53,37517140
2013-04-11,GAZP,D,0,130.0,130.0,125.55,126.08,58950010
2013-04-12,GAZP,D,0,125.99,127.43,125.11,126.7,50432840
2013-04-15,GAZP,D,0,125.98,126.7,123.52,125.95,65951080
2013-04-16,GAZP,D,0,124.89,126.66,124.1,124.15,50998370
2013-04-17,GAZP,D,0,124.7,124.96,120.79,121.8,60274240
2013-04-18,GAZP,D,0,121.6,122.84,120.17,120.45,39034660
2013-04-19,GAZP,D,0,121.07,122.08,119.62,120.11,46568680
2013-04-22,GAZP,D,0,120.49,121.65,118.69,119.9,47915180
2013-04-23,GAZP,D,0,119.5,121.25,118.64,120.17,46703170
2013-04-24,GAZP,D,0,120.6,124.8,119.85,124.7,67364940
2013-04-25,GAZP,D,0,125.0,125.59,122.8,122.96,48921100
2013-04-26,GAZP,D,0,122.8,123.35,121.1,122.82,34513030
2013-04-29,GAZP,D,0,123.12,123.65,121.65,122.5,20039250
2013-04-30,GAZP,D,0,122.9,125.73,122.14,124.15,39236440
2013-05-02,GAZP,D,0,122.96,124.04,122.55,122.96,12487110
2013-05-03,GAZP,D,0,123.69,128.75,123.45,128.7,30425410
2013-05-06,GAZP,D,0,128.88,129.73,127.57,129.38,23766790
2013-05-07,GAZP,D,0,129.48,131.65,128.68,130.55,38250990
2013-05-08,GAZP,D,0,130.55,132.04,129.71,131.81,28470050
2013-05-10,GAZP,D,0,132.29,133.63,131.15,132.89,21716080
2013-05-13,GAZP,D,0,132.49,132.66,129.26,129.8,48403150
2013-05-14,GAZP,D,0,126.0,126.38,124.33,125.54,46980830
2013-05-15,GAZP,D,0,125.7,125.94,122.16,122.3,33208130
2013-05-16,GAZP,D,0,123.24,125.0,121.54,122.81,46757350
2013-05-17,GAZP,D,0,123.2,125.75,122.72,125.49,37058430
2013-05-20,GAZP,D,0,125.82,127.56,125.72,126.4,38799480
2013-05-21,GAZP,D,0,126.1,127.44,125.4,126.95,35680590
2013-05-22,GAZP,D,0,127.03,128.4,126.53,127.39,41124740
2013-05-23,GAZP,D,0,125.78,125.78,121.31,121.6,47767100
2013-05-24,GAZP,D,0,122.24,122.95,118.87,120.0,46784440
2013-05-27,GAZP,D,0,120.8,121.18,119.03,119.68,21540520
2013-05-28,GAZP,D,0,120.39,122.09,120.08,120.87,37315920
2013-05-29,GAZP,D,0,120.41,120.48,118.09,118.63,37902490
2013-05-30,GAZP,D,0,118.63,120.82,118.5,119.81,40600410
2013-05-31,GAZP,D,0,120.48,123.42,118.44,123.4,85965510
2013-06-03,GAZP,D,0,122.61,122.96,120.15,120.75,72133340
2013-06-04,GAZP,D,0,121.15,122.12,119.22,119.49,42885320
2013-06-05,GAZP,D,0,119.12,119.67,117.64,118.22,48948360
2013-06-06,GAZP,D,0,117.95,118.54,116.8,116.98,34164490
2013-06-07,GAZP,D,0,117.95,118.25,116.58,117.25,31897870
2013-06-10,GAZP,D,0,117.84,118.11,115.85,116.5,36051730
2013-06-11,GAZP,D,0,116.2,116.8,110.94,111.91,51486800
2013-06-13,GAZP,D,0,110.04,111.35,108.15,109.91,55808190
2013-06-14,GAZP,D,0,111.25,111.93,109.52,109.8,40875940
2013-06-17,GAZP,D,0,110.0,111.81,109.25,111.42,40743880
2013-06-18,GAZP,D,0,110.9,113.95,110.84,112.98,31904140
2013-06-19,GAZP,D,0,113.13,113.61,110.72,111.21,32863400
2013-06-20,GAZP,D,0,109.06,109.79,107.55,108.24,39928040
2013-06-21,GAZP,D,0,108.0,110.75,107.43,109.6,36026100
2013-06-24,GAZP,D,0,108.3,109.62,106.5,107.23,31839880
2013-06-25,GAZP,D,0,107.25,110.14,107.25,108.56,32483010
2013-06-26,GAZP,D,0,108.75,111.08,108.75,110.05,32662330
2013-06-27,GAZP,D,0,110.72,110.74,106.8,107.6,32137870
2013-06-28,GAZP,D,0,107.84,109.2,106.6,109.1,41757900
2013-07-01,GAZP,D,0,109.12,109.87,108.06,109.08,23938170
2013-07-02,GAZP,D,0,109.3,110.11,108.17,109.2,25612700
2013-07-03,GAZP,D,0,108.82,109.5,107.51,109.2,40691260
2013-07-04,GAZP,D,0,109.57,113.29,109.02,113.17,48142070
2013-07-05,GAZP,D,0,113.49,115.46,112.7,113.57,46843980
2013-07-08,GAZP,D,0,114.4,115.36,113.12,114.0,22238250
2013-07-09,GAZP,D,0,114.33,115.0,113.44,114.15,23295870
2013-07-10,GAZP,D,0,114.29,114.75,112.52,113.6,23788550
2013-07-11,GAZP,D,0,114.67,118.24,114.61,117.29,42256770
2013-07-12,GAZP,D,0,117.59,122.0,117.37,121.85,54692120
2013-07-15,GAZP,D,0,122.05,123.25,121.34,122.78,37276990
2013-07-16,GAZP,D,0,122.8,125.19,122.16,124.78,36478510
2013-07-17,GAZP,D,0,124.59,131.4,123.55,131.3,79673240
2013-07-18,GAZP,D,0,131.37,134.25,128.84,130.21,87133460
2013-07-19,GAZP,D,0,130.0,133.09,129.07,129.53,41707910
2013-07-22,GAZP,D,0,130.05,132.45,127.72,128.85,45222070
2013-07-23,GAZP,D,0,129.81,130.95,128.27,128.5,38174560
2013-07-24,GAZP,D,0,128.51,129.38,126.44,127.17,35629150
2013-07-25,GAZP,D,0,126.72,128.18,125.6,127.81,28105020
2013-07-26,GAZP,D,0,128.71,129.87,128.05,128.84,26205640
2013-07-29,GAZP,D,0,128.7,129.88,128.36,129.4,17590130
2013-07-30,GAZP,D,0,129.93,131.43,129.59,129.6,26388930
2013-07-31,GAZP,D,0,129.76,129.88,127.71,128.61,25751190
2013-08-01,GAZP,D,0,129.5,130.9,129.35,130.21,26299340
2013-08-02,GAZP,D,0,131.02,131.68,127.4,128.45,28808370
2013-08-05,GAZP,D,0,128.37,129.42,127.37,128.87,15602360
2013-08-06,GAZP,D,0,128.15,128.7,125.78,126.1,24592690
2013-08-07,GAZP,D,0,125.5,126.99,124.6,124.86,29927260
2013-08-08,GAZP,D,0,125.4,125.7,124.14,125.18,22352130
2013-08-09,GAZP,D,0,125.56,128.8,125.05,128.24,29585340
2013-08-12,GAZP,D,0,128.64,130.48,128.5,129.03,27311260
2013-08-13,GAZP,D,0,129.57,132.28,129.5,132.18,34935120
2013-08-14,GAZP,D,0,132.62,134.74,132.53,134.52,48581130
2013-08-15,GAZP,D,0,134.33,134.46,130.26,131.05,42467740
2013-08-16,GAZP,D,0,131.38,132.27,129.38,130.79,32761360
2013-08-19,GAZP,D,0,130.8,132.5,130.3,132.45,22239750
2013-08-20,GAZP,D,0,131.73,132.79,130.0,132.68,32578740
2013-08-21,GAZP,D,0,132.49,133.5,131.1,132.2,34999340
2013-08-22,GAZP,D,0,131.55,134.69,131.07,134.11,37696450
2013-08-23,GAZP,D,0,134.4,134.85,132.8,133.1,27814380
2013-08-26,GAZP,D,0,133.77,134.12,131.9,132.61,14888300
2013-08-27,GAZP,D,0,131.91,132.32,130.91,131.76,21054720
2013-08-28,GAZP,D,0,131.25,132.7,129.61,132.29,33945820
2013-08-29,GAZP,D,0,132.4,133.17,130.33,131.7,26325200
2013-08-30,GAZP,D,0,131.8,131.99,130.58,131.9,19556710
2013-09-02,GAZP,D,0,132.2,133.05,130.05,131.45,15834160
2013-09-03,GAZP,D,0,131.97,133.08,131.01,131.5,30789800
2013-09-04,GAZP,D,0,131.12,132.24,130.35,132.01,21445410
2013-09-05,GAZP,D,0,132.4,140.07,132.11,140.0,67522890
2013-09-06,GAZP,D,0,140.01,143.98,138.81,141.97,97067770
2013-09-09,GAZP,D,0,142.52,147.47,142.52,147.4,88402790
2013-09-10,GAZP,D,0,148.4,148.7,145.6,146.37,79124330
