DATE,TICKER,PER,TIME,OPEN,HIGH,LOW,CLOSE,VOL
2013-02-15,MOEX,D,0,58.15,58.15,51.23,55.0,5897620
2013-02-18,MOEX,D,0,55.0,56.6,54.18,56.02,2767350
2013-02-19,MOEX,D,0,56.5,56.6,55.95,56.0,1761230
2013-02-20,MOEX,D,0,56.3,56.5,54.98,55.4,1413600
2013-02-21,MOEX,D,0,55.03,55.39,54.41,54.7,519330
2013-02-22,MOEX,D,0,54.5,54.86,53.89,54.5,1229680
2013-02-25,MOEX,D,0,54.76,54.8,54.07,54.75,105930
2013-02-26,MOEX,D,0,54.57,54.74,52.57,54.4,1490440
2013-02-27,MOEX,D,0,54.25,54.25,53.4,54.2,2748950
2013-02-28,MOEX,D,0,54.74,54.74,53.5,53.89,341650
2013-03-01,MOEX,D,0,53.7,54.28,52.5,52.5,2183750
2013-03-04,MOEX,D,0,52.5,52.97,52.3,52.8,2048950
2013-03-05,MOEX,D,0,52.88,53.8,52.7,53.75,579530
2013-03-06,MOEX,D,0,53.3,54.2,53.3,53.8,1080540
2013-03-07,MOEX,D,0,53.49,54.2,53.43,53.99,572780
2013-03-11,MOEX,D,0,53.98,54.6,53.27,54.0,1553350
2013-03-12,MOEX,D,0,53.52,54.8,53.28,54.6,1707250
2013-03-13,MOEX,D,0,54.23,55.08,54.22,54.55,4353160
2013-03-14,MOEX,D,0,54.8,55.15,54.3,54.9,2690980
2013-03-15,MOEX,D,0,55.0,55.24,54.16,55.0,9059010
2013-03-18,MOEX,D,0,52.75,53.43,51.1,52.85,1133650
2013-03-19,MOEX,D,0,53.2,53.2,51.87,51.96,1403920
2013-03-20,MOEX,D,0,52.2,52.36,50.76,52.12,1013200
2013-03-21,MOEX,D,0,52.57,52.96,51.95,52.13,407400
2013-03-22,MOEX,D,0,52.3,52.3,51.56,51.94,455650
2013-03-25,MOEX,D,0,52.38,52.38,51.8,51.92,199820
2013-03-26,MOEX,D,0,51.55,52.0,50.3,51.49,338920
2013-03-27,MOEX,D,0,52.03,52.03,50.9,51.26,265490
2013-03-28,MOEX,D,0,51.0,51.0,48.8,48.87,628410
2013-03-29,MOEX,D,0,49.51,49.87,49.0,49.48,332070
2013-04-01,MOEX,D,0,50.18,50.18,49.16,49.63,79790
2013-04-02,MOEX,D,0,49.63,49.63,48.38,48.59,168370
2013-04-03,MOEX,D,0,48.52,48.52,47.89,48.23,133190
2013-04-04,MOEX,D,0,48.07,48.65,47.42,48.43,181760
2013-04-05,MOEX,D,0,48.43,48.61,47.5,48.5,123940
2013-04-08,MOEX,D,0,48.67,48.88,47.5,47.52,110510
2013-04-09,MOEX,D,0,48.23,48.23,47.4,47.4,209980
2013-04-10,MOEX,D,0,48.0,48.0,46.75,46.87,424170
2013-04-11,MOEX,D,0,47.22,47.6,45.75,45.75,602080
2013-04-12,MOEX,D,0,45.7,45.97,45.0,45.45,469350
2013-04-15,MOEX,D,0,45.5,46.2,45.42,45.66,1393630
2013-04-16,MOEX,D,0,45.77,45.77,42.57,43.39,578480
2013-04-17,MOEX,D,0,43.88,44.48,43.11,43.3,1034050
2013-04-18,MOEX,D,0,43.5,43.5,42.58,43.03,888600
2013-04-19,MOEX,D,0,43.18,43.57,43.0,43.38,1334260
2013-04-22,MOEX,D,0,43.99,44.05,43.5,43.55,472550
2013-04-23,MOEX,D,0,43.71,44.08,43.63,44.0,835630
2013-04-24,MOEX,D,0,44.02,44.5,44.02,44.46,456310
2013-04-25,MOEX,D,0,44.42,44.63,44.01,44.2,556250
2013-04-26,MOEX,D,0,44.5,44.95,44.2,44.69,822010
2013-04-29,MOEX,D,0,44.91,45.01,44.4,44.57,187190
2013-04-30,MOEX,D,0,44.91,45.01,44.3,44.41,323540
2013-05-02,MOEX,D,0,44.55,44.55,43.75,44.37,169640
2013-05-03,MOEX,D,0,44.4,44.98,44.22,44.98,172390
2013-05-06,MOEX,D,0,45.29,47.83,45.29,46.16,686090
2013-05-07,MOEX,D,0,46.15,49.9,46.15,47.5,477510
2013-05-08,MOEX,D,0,47.35,49.0,47.01,48.76,690130
2013-05-10,MOEX,D,0,48.56,49.29,48.54,48.6,738670
2013-05-13,MOEX,D,0,49.27,49.99,48.63,49.0,280750
2013-05-14,MOEX,D,0,48.97,49.23,48.68,49.08,591600
2013-05-15,MOEX,D,0,50.0,50.14,49.62,49.85,1074800
2013-05-16,MOEX,D,0,49.99,50.1,49.9,50.1,216910
2013-05-17,MOEX,D,0,50.1,50.29,50.0,50.09,127180
2013-05-20,MOEX,D,0,49.99,51.2,49.99,51.0,535400
2013-05-21,MOEX,D,0,50.38,51.5,45.25,51.34,877330
2013-05-22,MOEX,D,0,51.35,55.06,51.35,54.45,1901910
2013-05-23,MOEX,D,0,54.35,54.43,53.5,53.76,534050
2013-05-24,MOEX,D,0,53.83,53.93,52.51,52.51,484860
2013-05-27,MOEX,D,0,53.29,53.4,52.81,53.2,360060
2013-05-28,MOEX,D,0,53.24,53.97,53.21,53.79,256510
2013-05-29,MOEX,D,0,53.38,53.72,52.8,53.52,637050
2013-05-30,MOEX,D,0,53.24,53.59,53.05,53.5,827150
2013-05-31,MOEX,D,0,53.68,53.8,53.37,53.37,172810
2013-06-03,MOEX,D,0,53.46,53.61,52.64,52.68,691060
2013-06-04,MOEX,D,0,52.87,53.12,52.45,52.62,822880
2013-06-05,MOEX,D,0,52.53,52.76,52.5,52.5,299610
2013-06-06,MOEX,D,0,52.5,54.78,52.5,53.25,1753200
