DATE,"Капитализация, млрд руб","EV, млрд руб","Выручка, млрд руб","Чистая прибыль, млрд руб","Див доход, ао, %","Дивиденды/прибыль, %",P/E,P/S,P/BV,"ROE, %","ROA, %",EV/EBITDA,"Рентаб EBITDA, %",Долг/EBITDA
2013-12-31,148.1,119.2,6.50,2.90,0.0%,0%,12.7,6.02,3.18,14.3%,,7.26,61.7%,-1.76
2014-03-31,0.00,-48.1,6.51,3.17,,0%,0.00,0.00,,,,-2.83,68.0%,-2.83
2014-06-30,0.00,-45.9,6.75,3.47,,0%,0.00,0.00,,,,-2.62,75.3%,-2.62
2014-09-30,0.00,-49.9,7.31,4.06,,0%,0.00,0.00,,,,-2.63,74.9%,-2.63
2014-12-31,134.4,76.8,9.82,5.29,0.0%,0%,8.41,4.42,2.35,17.5%,,3.49,71.3%,-2.62
2015-03-31,0.00,-67.5,11.9,7.20,,0%,0.00,0.00,,,,-2.50,79.3%,-2.50
2015-06-30,0.00,-63.7,10.2,6.00,,0%,0.00,0.00,,,,-2.13,78.1%,-2.13
2015-09-30,0.00,-68.8,11.2,6.98,,0%,0.00,0.00,,,,-2.05,81.8%,-2.05
2015-12-31,208.3,129.3,12.8,7.67,0.0%,0%,7.48,4.53,2.62,24.6%,,3.54,78.5%,-2.16
2016-03-31,239.4,151.7,11.7,6.98,0.0%,0%,8.66,5.22,,,,4.18,78.1%,-2.42
2016-06-30,256.4,182.0,10.8,6.41,0.0%,0%,9.15,5.52,,,,4.95,78.4%,-2.02
2016-09-30,288.5,209.8,10.8,6.29,0.0%,0%,10.5,6.26,,,,5.82,77.9%,-2.18
2016-12-31,286.2,200.9,10.2,5.51,0.0%,0%,11.4,6.57,3.22,20.4%,1.0%,5.98,73.9%,-2.54
2017-03-31,254.1,164.4,9.47,5.00,0.0%,0%,11.0,6.15,,,,5.25,72.9%,-2.86
2017-06-30,237.7,161.9,9.82,5.30,2.4%,107%,10.8,5.90,2.91,19.1%,,5.36,74.6%,-2.51
2017-09-30,263.2,178.5,9.66,5.14,0.0%,0%,12.6,6.72,3.22,18.1%,,6.18,73.5%,-2.93
2017-12-31,248.1,165.4,9.59,4.81,5.0%,258%,12.2,6.44,2.86,16.7%,0.7%,5.89,70.3%,-2.95
2018-03-31,266.3,176.7,9.87,5.19,0.0%,0%,13.0,6.84,2.94,16.4%,,6.43,64.1%,-3.26
2018-06-30,247.2,168.2,10.2,5.37,0.0%,0%,12.0,6.29,3.02,17.7%,,6.28,65.2%,-2.95
2018-09-30,221.3,137.6,9.82,5.17,0.0%,0%,10.8,5.61,2.56,17.1%,,5.13,72.7%,-3.12
2018-12-31,184.4,94.7,10.0,5.02,9.5%,349%,8.89,4.62,2.01,16.5%,0.5%,3.42,75.9%,-3.24
2019-03-31,207.8,112.7,10.3,5.04,0.0%,0%,10.6,5.16,2.15,15.1%,,3.94,70.0%,-3.33
2019-06-30,205.2,121.1,11.1,5.84,0.0%,0%,10.2,4.98,2.37,16.8%,,4.03,73.1%,-2.80
2019-09-30,215.7,125.5,10.7,5.54,0.0%,0%,10.6,5.13,2.33,16.3%,,4.11,71.5%,-2.95
2019-12-31,245.3,152.3,11.2,5.70,7.4%,317%,11.1,5.67,2.48,16.8%,0.5%,5.30,51.8%,-3.24
2020-03-31,220.3,122.5,12.0,6.60,0.0%,0%,9.31,4.90,2.15,17.5%,0.5%,4.01,75.9%,-3.20
2020-06-30,258.2,169.9,12.0,6.34,0.0%,0%,10.7,5.63,2.74,19.0%,0.5%,5.46,72.4%,-2.84
2020-09-30,333.7,236.5,11.3,5.64,0.0%,0%,13.7,7.17,3.35,18.4%,0.5%,7.52,70.2%,-3.09
2020-12-31,362.5,258.6,13.3,6.59,5.9%,326%,14.4,7.46,3.41,18.1%,0.5%,7.35,71.2%,-2.95
2021-03-31,396.1,293.5,12.9,6.70,0.0%,0%,15.7,8.01,3.57,17.6%,0.4%,8.31,71.7%,-2.90
2021-06-30,388.1,301.8,13.2,6.40,0.0%,0%,15.3,7.67,4.06,19.8%,0.4%,8.48,68.2%,-2.42
2021-09-30,395.9,307.9,13.4,6.74,0.0%,0%,15.0,7.52,3.88,19.7%,0.4%,8.32,69.8%,-2.38
2021-12-31,348.5,257.9,15.5,7.76,0.0%,0%,12.6,6.35,3.29,19.7%,0.4%,6.78,67.9%,-2.38
2022-03-31,226.5,226.5,21.7,8.10,0.0%,0%,7.81,3.55,1.79,22.9%,0.4%,5.67,51.1%,0.00
2022-06-30,194.5,194.5,8.10,11.3,0.0%,0%,5.73,3.32,1.24,21.7%,0.5%,4.60,140.5%,0.00
2022-09-30,171.5,171.5,8.90,8.71,0.0%,0%,4.78,3.17,1.04,21.8%,0.6%,3.82,133.8%,0.00
2022-12-31,216.1,108.7,44.8,11.2,5.1%,98%,5.49,2.59,1.51,22.3%,0.6%,2.19,34.2%,-2.16
2023-03-31,256.6,256.6,23.2,14.3,0.0%,0%,5.64,3.02,1.63,23.9%,0.6%,4.45,82.2%,0.00
2023-06-30,281.5,281.5,20.9,12.0,0.0%,0%,6.09,2.88,1.77,24.1%,0.6%,4.50,77.6%,0.00
2023-09-30,406.9,406.9,25.6,14.3,0.0%,0%,7.86,3.55,2.43,25.9%,0.6%,5.72,80.4%,0.00
2023-12-31,430.5,291.5,35.0,20.2,9.2%,195%,7.08,4.11,2.26,27.3%,0.6%,3.55,75.2%,-1.69
2024-12-31,0.00,0.00,,,,,,,,,,,,
LTM,521.5,382.5,104.7,60.8,0.0%,0,8.58,4.98,2.74,27.3%,0.6%,4.65,78.5%,-1.69
