DATE,"Капитализация, млрд руб","EV, млрд руб","Выручка, млрд руб","Чистая прибыль, млрд руб","Див доход, ао, %","Дивиденды/прибыль, %",P/E,P/S,P/BV,"ROE, %","ROA, %",EV/EBITDA,"Рентаб EBITDA, %",Долг/EBITDA
2013-12-31,2 666,4 776,,,0.0%,,,,2.26,0.0%,0.0%,,,
2014-12-31,2 075,6 232,,,0.0%,,,,1.90,0.0%,0.0%,,,
2015-06-30,2 459,2 459,1 312,134.0,0.0%,0%,18.3,1.87,,,,7.91,23.7%,0.00
2015-09-30,2 575,2 575,1 266,113.0,0.0%,0%,10.4,1.00,,,,4.64,19.3%,0.00
2015-12-31,2 681,7 350,1 196,53.0,0.0%,0%,8.94,0.71,1.03,10.4%,3.1%,8.82,23.2%,5.61
2016-03-31,3 232,3 232,1 048,14.0,0.0%,0%,10.3,0.67,,,,2.92,26.0%,0.00
2016-06-30,3 497,3 497,1 232,89.0,0.0%,0%,13.0,0.74,,,,3.06,28.2%,0.00
2016-09-30,3 635,7 380,1 223,26.0,0.0%,0%,20.0,0.77,1.27,5.8%,,6.20,23.9%,3.14
2016-12-31,4 269,8 812,1 485,52.0,0.0%,0%,23.6,0.86,1.41,5.5%,1.6%,6.90,24.6%,3.55
2017-03-31,3 428,7 713,1 410,13.0,0.0%,0%,19.0,0.64,1.12,5.4%,,5.76,23.6%,3.20
2017-06-30,3 423,7 911,1 399,68.0,1.2%,60%,21.5,0.62,1.09,4.6%,,6.10,21.9%,3.46
2017-09-30,3 381,8 421,1 496,47.0,0.0%,0%,18.8,0.58,1.07,5.2%,,6.12,24.8%,3.67
2017-12-31,3 089,8 365,1 709,255.0,2.3%,28%,8.07,0.51,0.94,10.6%,3.1%,5.96,23.0%,3.76
2018-03-31,3 327,8 211,1 722,123.0,0.0%,0%,6.75,0.53,1.01,13.6%,,5.64,22.4%,3.36
2018-06-30,4 198,7 918,2 065,257.0,3.7%,60%,6.16,0.60,1.17,17.7%,,4.62,27.4%,2.17
2018-09-30,5 225,8 810,2 286,267.0,0.0%,0%,5.79,0.67,1.40,23.2%,,4.44,28.1%,1.81
2018-12-31,4 584,9 569,2 165,185.0,2.6%,65%,5.51,0.56,1.18,20.5%,6.3%,4.60,22.5%,2.40
2019-03-31,4 366,7 908,2 077,242.0,0.0%,0%,4.59,0.51,1.08,22.8%,,3.52,26.4%,1.58
2019-06-30,4 393,7 918,2 135,230.0,3.7%,71%,4.75,0.51,1.06,21.7%,,3.61,24.1%,1.61
2019-09-30,4 444,8 058,2 240,262.0,0.0%,0%,4.84,0.52,1.05,21.1%,,3.83,24.7%,1.72
2019-12-31,4 766,9 448,2 224,184.0,4.0%,104%,5.19,0.55,1.09,20.3%,7.1%,4.49,21.9%,2.22
2020-03-31,3 352,7 315,1 765,34.0,0.0%,0%,4.72,0.40,0.77,15.8%,5.3%,3.92,17.5%,2.12
2020-06-30,3 831,7 873,1 039,-56.0,0.0%,0%,9.04,0.53,1.02,10.8%,3.4%,5.18,16.4%,2.66
2020-09-30,4 074,8 661,1 439,108.0,0.0%,0%,15.1,0.63,1.07,6.8%,2.0%,6.50,25.4%,3.44
2020-12-31,4 633,10 176,1 514,85.0,1.6%,87%,27.1,0.80,1.02,3.6%,1.1%,8.42,24.0%,4.58
2021-03-31,6 073,9 919,1 737,179.0,0.0%,0%,19.2,1.06,1.29,6.5%,2.0%,7.37,25.6%,2.86
2021-06-30,6 050,9 854,2 167,265.0,3.2%,72%,9.50,0.88,1.25,12.7%,4.1%,5.64,26.3%,2.18
2021-09-30,5 848,10 967,2 320,334.0,0.0%,0%,6.78,0.76,1.13,16.2%,5.3%,5.43,27.5%,2.54
2021-12-31,6 338,11 754,2 537,279.0,4.0%,90%,6.00,0.72,1.18,19.1%,6.4%,5.04,26.6%,2.32
2022-03-31,4 637,4 637,2 586,216.0,0.0%,0%,4.24,0.48,,,,1.77,28.5%,0.00
2022-06-30,3 847,3 847,2 586,216.0,5.6%,100%,3.68,0.38,,,,1.38,28.5%,0.00
2022-09-30,2 767,2 767,2 030,159.0,0.0%,0%,3.18,0.28,,,,0.87,50.0%,0.00
2022-12-31,3 856,3 856,1 843,222.0,4.9%,86%,4.74,0.43,,,,1.27,29.1%,0.00
2023-03-31,4 029,4 029,1 823,323.0,0.0%,0%,3.55,0.37,,,,1.09,36.9%,0.00
2023-06-30,5 111,5 111,2 043,329.0,0.0%,0%,4.95,0.66,0.69,13.9%,5.9%,1.73,35.7%,0.00
2023-09-30,5 682,5 682,2 900,419.0,5.7%,78%,4.39,0.66,0.67,15.2%,6.9%,1.93,34.6%,0.00
2023-12-31,5 834,5 834,2 397,196.0,0.0%,0%,4.60,0.64,0.69,15.1%,6.7%,1.94,25.1%,0.00
LTM,6 174,6 174,9 163,1 267,5.3%,26%,4.87,0.67,0.73,15.1%,6.7%,2.05,32.8%,0
