DATE,"Капитализация, млрд руб","EV, млрд руб","Выручка, млрд руб","Чистая прибыль, млрд руб","Див доход, ао, %","Дивиденды/прибыль, %",P/E,P/S,P/BV,"ROE, %","ROA, %",EV/EBITDA,"Рентаб EBITDA, %",Долг/EBITDA
2013-12-31,591.5,801.4,,,0.0%,,,,3.01,0.0%,,,,
2014-12-31,463.4,582.9,78.9,-1.97,0.0%,0%,-235.9,5.87,2.45,-0.8%,,23.4,31.6%,4.79
2015-03-31,422.1,422.1,71.7,2.10,0.0%,0%,3 150,2.80,,,,8.54,34.2%,0.00
2015-06-30,483.8,483.8,72.1,6.13,0.0%,0%,77.3,2.17,,,,6.47,35.1%,0.00
2015-09-30,458.2,458.2,72.5,2.05,0.0%,0%,55.1,1.55,,,,4.58,34.7%,0.00
2015-12-31,484.3,653.9,81.0,4.12,0.0%,0%,33.7,1.63,2.59,5.9%,2.6%,6.48,31.9%,1.68
2016-03-31,268.3,268.3,72.5,3.00,0.0%,0%,17.5,0.90,,,,2.66,34.0%,0.00
2016-06-30,252.0,252.0,71.8,1.60,0.0%,0%,23.4,0.85,,,,2.56,31.6%,0.00
2016-09-30,215.9,215.9,72.8,4.06,0.0%,0%,16.9,0.72,,,,2.20,34.4%,0.00
2016-12-31,229.5,412.3,80.4,3.59,0.0%,0%,18.7,0.77,1.22,4.9%,2.2%,4.26,30.3%,1.89
2017-03-31,210.3,204.5,70.4,3.20,0.0%,0%,16.9,0.71,1.13,5.0%,,2.18,30.7%,-0.06
2017-06-30,196.0,381.4,75.2,2.83,0.0%,0%,14.3,0.66,1.11,5.8%,,3.99,32.7%,1.94
2017-09-30,164.0,355.2,75.6,3.91,0.0%,0%,12.1,0.54,0.90,5.6%,,3.72,33.1%,2.00
2017-12-31,176.3,363.8,84.1,4.12,7.9%,341%,12.5,0.58,0.93,5.6%,2.5%,3.76,30.5%,1.94
2018-03-31,187.6,385.2,76.2,3.86,0.0%,0%,12.7,0.60,0.98,5.9%,,3.91,30.4%,2.01
2018-06-30,202.2,401.6,77.4,3.09,0.0%,0%,13.5,0.65,1.10,6.2%,,4.12,30.6%,2.05
2018-09-30,192.5,402.5,79.4,5.70,3.6%,122%,11.5,0.61,1.02,6.7%,,4.03,34.4%,2.10
2018-12-31,200.8,395.0,87.3,2.35,3.4%,296%,13.4,0.63,1.11,6.1%,2.3%,3.91,30.6%,1.92
2019-03-31,199.3,415.3,78.7,5.63,0.0%,0%,11.9,0.62,1.07,6.6%,,3.99,33.5%,2.08
2019-06-30,222.4,431.5,80.2,4.31,0.0%,0%,12.4,0.68,1.21,7.2%,,4.01,33.9%,1.94
2019-09-30,215.2,429.5,83.7,6.41,0.0%,0%,11.5,0.65,1.14,7.2%,,3.97,33.3%,1.98
2019-12-31,216.5,558.7,233.2,3.83,6.4%,456%,10.7,0.46,2.59,9.6%,2.3%,3.27,38.3%,2.00
2020-03-31,254.2,655.7,121.6,7.25,0.0%,0%,11.7,0.49,5.79,12.3%,2.4%,3.43,38.7%,2.10
2020-06-30,305.3,721.6,127.3,7.37,0.0%,0%,12.3,0.54,6.04,13.4%,2.7%,3.39,38.3%,1.95
2020-09-30,271.3,693.7,135.0,11.5,0.0%,0%,9.07,0.44,5.99,16.5%,3.2%,2.90,39.8%,1.77
2020-12-31,335.7,709.6,181.0,-2.76,5.2%,0%,14.4,0.59,8.57,12.9%,2.3%,3.66,24.6%,1.93
2021-03-31,295.5,671.4,132.0,11.6,0.0%,0%,10.7,0.51,5.93,14.4%,2.7%,3.32,42.0%,1.86
2021-06-30,281.9,663.4,139.0,10.7,0.0%,0%,9.08,0.48,6.56,16.7%,3.0%,3.17,40.2%,1.82
2021-09-30,250.3,644.3,141.2,7.71,0.0%,0%,9.17,0.42,5.01,14.1%,2.6%,3.01,41.3%,1.84
2021-12-31,302.3,697.1,167.9,-1.50,5.2%,0%,10.6,0.52,7.86,15.2%,2.6%,3.19,29.2%,1.80
2022-03-31,232.3,632.7,138.7,10.0,0.0%,0%,8.61,0.40,5.15,13.9%,2.4%,2.82,44.2%,1.78
2022-06-30,221.7,626.7,144.7,12.1,0.0%,0%,7.83,0.37,5.85,14.8%,2.6%,2.69,44.2%,1.74
2022-09-30,185.3,572.4,152.1,7.57,0.0%,0%,6.58,0.31,4.18,14.2%,2.6%,2.44,39.6%,1.65
2022-12-31,195.5,592.2,191.5,1.35,9.7%,1 409%,6.30,0.31,4.11,15.5%,2.8%,2.39,32.8%,1.60
2023-03-31,212.9,578.5,159.5,16.1,0.0%,0%,7.55,0.70,3.52,12.9%,2.5%,4.26,45.0%,2.69
2023-06-30,251.6,615.0,165.0,8.41,0.0%,0%,7.53,0.38,3.85,14.5%,2.9%,2.38,38.4%,1.41
2023-09-30,254.2,643.2,173.9,12.1,0.0%,0%,6.69,0.37,3.79,15.6%,3.2%,2.37,42.6%,1.43
2023-12-31,237.5,680.8,209.4,-2.24,0.0%,0%,6.90,0.34,5.68,15.5%,2.8%,2.40,35.3%,1.57
LTM,343.8,787.1,707.8,34.4,0.0%,0,9.99,0.49,8.23,15.5%,2.8%,2.78,40.0%,1.57
