DATE,TICKER,PER,TIME,OPEN,HIGH,LOW,CLOSE,VOL
2013-01-08,ROSN,D,0,271.51,274.75,266.42,268.98,6134780
2013-01-09,ROSN,D,0,267.99,270.07,265.4,268.99,6366860
2013-01-10,ROSN,D,0,269.5,269.5,266.65,266.65,3151120
2013-01-11,ROSN,D,0,266.47,266.82,264.32,265.28,4752510
2013-01-14,ROSN,D,0,265.61,268.6,265.59,267.0,3377980
2013-01-15,ROSN,D,0,266.32,266.32,263.64,264.1,3801520
2013-01-16,ROSN,D,0,264.48,264.88,260.7,261.56,3707580
2013-01-17,ROSN,D,0,261.56,261.79,257.57,258.75,6729290
2013-01-18,ROSN,D,0,259.33,262.9,258.29,262.44,7298550
2013-01-21,ROSN,D,0,262.62,263.5,260.54,262.67,2702850
2013-01-22,ROSN,D,0,262.85,265.4,260.12,264.91,6101960
2013-01-23,ROSN,D,0,265.2,265.9,263.7,265.21,5354740
2013-01-24,ROSN,D,0,264.51,268.78,262.01,268.49,7755770
2013-01-25,ROSN,D,0,268.3,273.46,267.07,272.62,8923120
2013-01-28,ROSN,D,0,272.89,275.5,270.67,275.43,5737340
2013-01-29,ROSN,D,0,274.16,275.5,270.3,270.89,4706550
2013-01-30,ROSN,D,0,272.2,272.5,266.11,267.29,11097800
2013-01-31,ROSN,D,0,264.96,267.6,264.1,267.15,5668400
2013-02-01,ROSN,D,0,267.15,267.24,259.38,262.01,9331860
2013-02-04,ROSN,D,0,262.8,263.7,257.7,258.09,4602560
2013-02-05,ROSN,D,0,257.33,259.8,255.8,258.49,6423450
2013-02-06,ROSN,D,0,259.7,261.78,255.31,256.51,8291320
2013-02-07,ROSN,D,0,256.14,257.72,255.0,255.82,4390250
2013-02-08,ROSN,D,0,255.84,256.48,253.21,255.61,5827220
2013-02-11,ROSN,D,0,256.0,259.7,255.9,257.05,5884360
2013-02-12,ROSN,D,0,257.39,258.28,253.58,253.82,4588490
2013-02-13,ROSN,D,0,255.0,265.58,253.67,263.89,11905730
2013-02-14,ROSN,D,0,263.9,265.0,258.02,258.98,7405420
2013-02-15,ROSN,D,0,258.63,258.63,254.75,255.07,4928630
2013-02-18,ROSN,D,0,255.0,255.97,252.15,253.5,4270680
2013-02-19,ROSN,D,0,253.9,257.47,253.58,255.5,5542370
2013-02-20,ROSN,D,0,256.14,256.46,251.49,251.89,5433950
2013-02-21,ROSN,D,0,249.84,251.88,248.0,251.05,6048310
2013-02-22,ROSN,D,0,251.7,253.44,249.02,252.06,3034350
2013-02-25,ROSN,D,0,252.7,253.24,250.55,251.05,2016340
2013-02-26,ROSN,D,0,249.51,250.26,248.11,248.26,3240390
2013-02-27,ROSN,D,0,249.58,250.92,246.55,247.52,3973530
2013-02-28,ROSN,D,0,249.89,249.89,243.83,244.01,5276820
2013-03-01,ROSN,D,0,243.27,243.91,240.33,241.88,5750400
2013-03-04,ROSN,D,0,241.4,242.41,239.65,241.55,3660220
2013-03-05,ROSN,D,0,242.1,245.5,241.54,244.86,4064760
2013-03-06,ROSN,D,0,245.95,249.6,245.06,247.61,4818930
2013-03-07,ROSN,D,0,247.88,250.9,247.44,248.31,4441160
2013-03-11,ROSN,D,0,249.02,251.16,248.33,248.34,4485240
2013-03-12,ROSN,D,0,248.7,248.98,245.55,248.46,4139620
2013-03-13,ROSN,D,0,247.67,248.08,246.01,246.63,3500810
2013-03-14,ROSN,D,0,246.5,246.59,244.13,244.32,3335520
2013-03-15,ROSN,D,0,245.59,247.9,241.63,242.54,5670200
2013-03-18,ROSN,D,0,239.79,239.79,236.3,238.58,5949600
2013-03-19,ROSN,D,0,239.1,239.18,235.37,236.4,5618030
2013-03-20,ROSN,D,0,236.9,237.88,234.52,237.85,4594850
2013-03-21,ROSN,D,0,238.01,242.64,236.35,242.24,8084810
2013-03-22,ROSN,D,0,241.95,242.11,237.5,237.59,5576450
2013-03-25,ROSN,D,0,239.51,244.43,239.51,241.59,6359820
2013-03-26,ROSN,D,0,241.6,242.96,236.8,237.76,7181410
2013-03-27,ROSN,D,0,239.16,240.8,235.62,238.61,9025400
2013-03-28,ROSN,D,0,237.86,238.54,235.29,237.15,5065990
2013-03-29,ROSN,D,0,238.18,238.9,237.04,238.66,1701970
2013-04-01,ROSN,D,0,238.46,238.46,235.66,236.5,2185000
2013-04-02,ROSN,D,0,236.33,237.67,234.85,236.5,4014000
2013-04-03,ROSN,D,0,235.8,237.17,232.6,235.13,4201330
2013-04-04,ROSN,D,0,233.8,240.85,233.11,236.96,8805010
2013-04-05,ROSN,D,0,237.77,238.39,230.0,230.87,9690240
2013-04-08,ROSN,D,0,231.09,232.59,225.63,225.97,4336440
2013-04-09,ROSN,D,0,226.77,228.7,223.71,224.87,5843350
2013-04-10,ROSN,D,0,225.62,226.8,224.01,225.95,5403690
2013-04-11,ROSN,D,0,226.48,226.97,219.06,222.0,6269020
2013-04-12,ROSN,D,0,221.6,223.51,219.7,223.41,6017760
2013-04-15,ROSN,D,0,222.0,224.94,219.33,221.8,6651780
2013-04-16,ROSN,D,0,220.75,222.0,219.5,219.84,5342350
2013-04-17,ROSN,D,0,220.24,220.8,213.9,214.84,6072100
2013-04-18,ROSN,D,0,214.37,217.35,213.02,213.5,5120320
2013-04-19,ROSN,D,0,214.6,216.3,211.28,214.99,5006960
2013-04-22,ROSN,D,0,215.98,218.2,214.54,217.29,5693610
2013-04-23,ROSN,D,0,216.52,221.0,214.35,215.3,7443600
2013-04-24,ROSN,D,0,216.0,220.5,215.15,219.7,11841070
2013-04-25,ROSN,D,0,220.87,221.87,216.0,216.84,8566730
2013-04-26,ROSN,D,0,216.4,217.39,212.32,214.8,7004890
2013-04-29,ROSN,D,0,214.61,216.0,213.04,213.95,2860960
2013-04-30,ROSN,D,0,214.2,216.38,213.14,214.38,5843410
2013-05-02,ROSN,D,0,210.9,217.02,210.26,215.0,3913220
2013-05-03,ROSN,D,0,216.37,220.45,215.05,219.89,4570570
2013-05-06,ROSN,D,0,220.0,221.67,219.57,220.5,6261540
2013-05-07,ROSN,D,0,213.91,219.88,213.0,218.73,10924760
2013-05-08,ROSN,D,0,219.3,221.69,217.67,221.64,6737890
2013-05-10,ROSN,D,0,221.64,225.0,219.6,222.82,3615590
2013-05-13,ROSN,D,0,222.48,224.25,218.24,223.07,8208790
2013-05-14,ROSN,D,0,223.32,226.69,221.6,223.71,6961570
2013-05-15,ROSN,D,0,224.01,225.91,218.66,221.44,6436300
2013-05-16,ROSN,D,0,221.91,221.95,217.7,218.3,3796050
2013-05-17,ROSN,D,0,218.48,221.9,217.31,219.52,3304180
2013-05-20,ROSN,D,0,220.13,222.9,219.0,219.3,4513000
2013-05-21,ROSN,D,0,219.3,222.5,218.02,220.5,5433800
2013-05-22,ROSN,D,0,220.9,225.29,220.22,224.3,8065020
2013-05-23,ROSN,D,0,221.51,221.97,213.5,214.38,7986690
2013-05-24,ROSN,D,0,215.2,216.0,210.3,212.59,6563650
2013-05-27,ROSN,D,0,212.61,213.85,210.57,211.37,3571170
2013-05-28,ROSN,D,0,212.11,214.65,211.85,213.72,4997160
2013-05-29,ROSN,D,0,213.63,213.71,208.13,212.4,9730510
