DATE,TICKER,PER,TIME,OPEN,HIGH,LOW,CLOSE,VOL
2013-01-08,RTKMP,D,0,91.47,93.55,90.53,92.5,421200
2013-01-09,RTKMP,D,0,92.8,92.89,91.77,92.03,267300
2013-01-10,RTKMP,D,0,91.65,92.97,90.24,91.0,214900
2013-01-11,RTKMP,D,0,90.76,90.94,89.78,90.01,283600
2013-01-14,RTKMP,D,0,90.11,91.15,90.01,90.56,136300
2013-01-15,RTKMP,D,0,90.91,91.15,90.02,90.3,388400
2013-01-16,RTKMP,D,0,90.96,91.4,90.17,90.51,144200
2013-01-17,RTKMP,D,0,90.57,90.57,89.61,89.99,491900
2013-01-18,RTKMP,D,0,90.39,91.35,90.16,90.85,570600
2013-01-21,RTKMP,D,0,90.59,91.5,90.11,90.71,155900
2013-01-22,RTKMP,D,0,90.45,91.32,90.29,90.81,359600
2013-01-23,RTKMP,D,0,90.59,91.21,90.4,90.43,344700
2013-01-24,RTKMP,D,0,90.39,90.39,89.94,90.05,152600
2013-01-25,RTKMP,D,0,90.02,90.68,89.91,90.0,466500
2013-01-28,RTKMP,D,0,90.3,90.87,89.9,90.15,512600
2013-01-29,RTKMP,D,0,90.47,91.45,89.79,89.9,1890800
2013-01-30,RTKMP,D,0,90.08,90.14,89.1,89.24,326900
2013-01-31,RTKMP,D,0,89.15,89.15,87.78,88.59,787200
2013-02-01,RTKMP,D,0,88.98,89.45,88.51,88.9,349000
2013-02-04,RTKMP,D,0,89.48,89.98,87.92,88.05,311300
2013-02-05,RTKMP,D,0,87.9,88.29,87.0,87.25,950700
2013-02-06,RTKMP,D,0,87.94,88.75,87.51,87.97,289600
2013-02-07,RTKMP,D,0,88.19,88.61,87.8,88.0,213700
2013-02-08,RTKMP,D,0,87.99,88.74,87.78,88.49,223900
2013-02-11,RTKMP,D,0,88.32,90.24,88.32,89.76,1008200
2013-02-12,RTKMP,D,0,89.64,91.95,89.51,90.3,2768900
2013-02-13,RTKMP,D,0,90.88,91.8,90.47,91.09,1217300
2013-02-14,RTKMP,D,0,91.0,91.4,90.1,90.47,666100
2013-02-15,RTKMP,D,0,90.35,90.87,89.9,90.55,188600
2013-02-18,RTKMP,D,0,90.6,91.0,89.9,90.74,141800
2013-02-19,RTKMP,D,0,91.38,91.7,90.75,91.7,533100
2013-02-20,RTKMP,D,0,92.19,93.33,91.9,92.25,1310100
2013-02-21,RTKMP,D,0,91.83,92.16,90.36,91.02,800100
2013-02-22,RTKMP,D,0,91.67,91.87,88.1,90.31,1837300
2013-02-25,RTKMP,D,0,90.5,90.79,89.48,90.14,139400
2013-02-26,RTKMP,D,0,89.46,90.12,88.99,89.2,209700
2013-02-27,RTKMP,D,0,90.1,90.1,88.77,88.78,163500
2013-02-28,RTKMP,D,0,89.15,91.6,89.04,91.49,1879400
2013-03-01,RTKMP,D,0,91.5,91.88,90.61,91.01,1283700
2013-03-04,RTKMP,D,0,93.01,94.38,92.23,94.29,3068800
2013-03-05,RTKMP,D,0,94.47,94.73,93.53,94.37,621000
2013-03-06,RTKMP,D,0,94.05,94.8,94.0,94.79,405300
2013-03-07,RTKMP,D,0,94.75,95.6,94.22,94.87,540100
2013-03-11,RTKMP,D,0,95.11,95.69,94.03,94.39,332700
2013-03-12,RTKMP,D,0,94.39,94.9,92.8,92.91,1105400
2013-03-13,RTKMP,D,0,93.19,93.45,92.75,93.43,550600
2013-03-14,RTKMP,D,0,93.16,94.5,93.0,93.5,229000
2013-03-15,RTKMP,D,0,93.7,93.98,93.25,93.25,254500
2013-03-18,RTKMP,D,0,91.11,92.76,90.4,91.11,587800
2013-03-19,RTKMP,D,0,91.25,91.84,91.0,91.15,562200
2013-03-20,RTKMP,D,0,91.02,95.43,90.7,94.4,1595900
2013-03-21,RTKMP,D,0,93.48,93.5,90.72,90.87,3610100
2013-03-22,RTKMP,D,0,90.87,91.33,90.13,90.36,960700
2013-03-25,RTKMP,D,0,90.65,91.0,88.8,90.6,455900
2013-03-26,RTKMP,D,0,90.7,90.74,89.12,89.33,814000
2013-03-27,RTKMP,D,0,89.56,90.5,87.61,89.53,2324600
2013-03-28,RTKMP,D,0,90.0,90.4,88.66,89.24,1121100
2013-03-29,RTKMP,D,0,89.27,89.8,87.6,87.89,811800
2013-04-01,RTKMP,D,0,87.81,88.75,87.52,87.8,513600
2013-04-02,RTKMP,D,0,87.71,88.89,87.53,87.75,702500
2013-04-03,RTKMP,D,0,87.67,88.0,86.2,86.48,908500
2013-04-04,RTKMP,D,0,86.0,86.21,85.0,85.11,632100
2013-04-05,RTKMP,D,0,85.15,85.15,81.8,82.9,3836700
2013-04-08,RTKMP,D,0,83.15,84.2,82.5,82.6,695300
2013-04-09,RTKMP,D,0,82.9,83.81,81.67,81.98,1279400
2013-04-10,RTKMP,D,0,82.69,83.39,81.89,81.99,560900
2013-04-11,RTKMP,D,0,82.44,83.37,81.22,81.57,410700
2013-04-12,RTKMP,D,0,81.45,81.8,80.63,80.8,967600
2013-04-15,RTKMP,D,0,80.22,82.35,78.0,78.22,1493600
2013-04-16,RTKMP,D,0,78.99,79.2,77.2,77.31,519000
2013-04-17,RTKMP,D,0,78.0,78.0,74.0,74.5,763900
2013-04-18,RTKMP,D,0,74.75,75.9,73.25,74.0,384300
2013-04-19,RTKMP,D,0,74.74,76.98,74.5,75.98,764000
2013-04-22,RTKMP,D,0,76.59,80.53,76.12,80.53,585200
2013-04-23,RTKMP,D,0,79.13,82.0,77.24,79.01,630800
2013-04-24,RTKMP,D,0,78.61,80.08,78.6,79.0,291600
2013-04-25,RTKMP,D,0,79.21,80.7,78.71,80.02,724500
2013-04-26,RTKMP,D,0,80.94,83.34,80.0,82.48,1021700
2013-04-29,RTKMP,D,0,83.27,83.34,82.25,82.3,646800
2013-04-30,RTKMP,D,0,82.0,83.51,81.38,82.58,1137900
2013-05-02,RTKMP,D,0,78.85,80.48,78.75,80.0,102700
2013-05-03,RTKMP,D,0,80.46,82.65,80.21,81.7,171300
2013-05-06,RTKMP,D,0,82.0,82.0,79.05,80.0,303300
2013-05-07,RTKMP,D,0,79.76,83.32,79.73,81.68,261500
2013-05-08,RTKMP,D,0,82.49,82.5,80.74,80.74,117700
2013-05-10,RTKMP,D,0,81.19,82.96,80.26,80.44,222100
2013-05-13,RTKMP,D,0,80.44,81.37,80.03,81.0,92800
2013-05-14,RTKMP,D,0,81.0,82.88,80.75,81.19,174900
2013-05-15,RTKMP,D,0,80.97,82.0,80.01,81.09,230200
2013-05-16,RTKMP,D,0,79.99,81.47,79.1,79.33,292400
2013-05-17,RTKMP,D,0,79.12,80.18,78.8,79.73,139700
2013-05-20,RTKMP,D,0,80.27,80.5,78.87,79.11,64800
2013-05-21,RTKMP,D,0,79.33,80.1,78.8,79.71,137000
2013-05-22,RTKMP,D,0,79.6,81.27,79.31,80.89,219100
2013-05-23,RTKMP,D,0,80.02,81.19,77.04,77.04,264200
2013-05-24,RTKMP,D,0,77.84,77.84,75.2,75.4,165500
2013-05-27,RTKMP,D,0,76.0,76.8,75.85,75.98,82700
2013-05-28,RTKMP,D,0,76.46,77.49,75.92,77.09,89600
2013-05-29,RTKMP,D,0,76.61,76.61,74.78,74.82,103400
2013-05-30,RTKMP,D,0,75.28,75.34,73.19,73.3,410400
2013-05-31,RTKMP,D,0,74.61,74.72,72.44,72.62,189500
2013-06-03,RTKMP,D,0,72.5,75.99,71.57,73.33,130200
2013-06-04,RTKMP,D,0,74.17,77.19,72.66,73.2,260500
2013-06-05,RTKMP,D,0,72.95,73.76,70.77,72.0,118700
2013-06-06,RTKMP,D,0,71.9,73.0,69.56,70.0,888400
2013-06-07,RTKMP,D,0,70.87,70.88,70.31,70.79,75600
2013-06-10,RTKMP,D,0,71.7,74.85,70.8,72.29,195600
2013-06-11,RTKMP,D,0,72.3,73.0,69.5,70.01,223900
2013-06-13,RTKMP,D,0,69.6,70.69,66.97,68.89,336100
2013-06-14,RTKMP,D,0,70.19,70.19,68.52,69.0,41900
2013-06-17,RTKMP,D,0,69.05,71.74,69.05,71.19,838900
2013-06-18,RTKMP,D,0,71.23,73.5,71.0,73.3,700000
2013-06-19,RTKMP,D,0,73.41,74.7,71.25,71.53,718700
2013-06-20,RTKMP,D,0,71.05,71.2,69.0,70.01,103500
2013-06-21,RTKMP,D,0,70.89,71.78,69.25,69.68,62700
2013-06-24,RTKMP,D,0,69.3,70.4,69.2,69.71,77000
2013-06-25,RTKMP,D,0,70.0,72.3,69.92,71.86,131100
2013-06-26,RTKMP,D,0,72.4,72.43,70.44,70.8,76100
2013-06-27,RTKMP,D,0,71.07,71.39,69.79,69.82,119500
2013-06-28,RTKMP,D,0,70.03,84.16,69.96,71.0,209500
2013-07-01,RTKMP,D,0,71.24,73.34,71.24,73.34,99400
2013-07-02,RTKMP,D,0,73.53,75.9,72.91,75.47,762600
2013-07-03,RTKMP,D,0,75.3,78.1,74.01,75.03,1339000
2013-07-04,RTKMP,D,0,75.0,76.4,73.7,75.88,559500
2013-07-05,RTKMP,D,0,76.39,76.95,74.5,75.0,193800
2013-07-08,RTKMP,D,0,75.0,75.4,72.37,73.24,155600
2013-07-09,RTKMP,D,0,73.16,76.15,73.16,75.75,315300
2013-07-10,RTKMP,D,0,75.9,75.9,74.38,74.39,37100
2013-07-11,RTKMP,D,0,74.98,76.0,74.5,75.22,74800
2013-07-12,RTKMP,D,0,75.21,77.3,71.71,77.3,775100
2013-07-15,RTKMP,D,0,77.4,78.5,76.69,76.7,177000
2013-07-16,RTKMP,D,0,76.51,78.49,76.2,78.0,626700
2013-07-17,RTKMP,D,0,77.71,79.7,77.52,79.64,537500
2013-07-18,RTKMP,D,0,79.89,80.55,78.02,78.18,283000
2013-07-19,RTKMP,D,0,78.03,79.0,77.2,77.44,535300
2013-07-22,RTKMP,D,0,77.78,77.8,77.1,77.36,160000
2013-07-23,RTKMP,D,0,77.6,79.39,77.37,78.37,136200
2013-07-24,RTKMP,D,0,78.81,79.33,78.02,78.6,165800
2013-07-25,RTKMP,D,0,78.77,79.1,78.21,79.08,115800
2013-07-26,RTKMP,D,0,79.75,79.75,78.11,78.93,138100
2013-07-29,RTKMP,D,0,79.14,80.96,78.43,80.96,444500
2013-07-30,RTKMP,D,0,80.0,82.26,79.72,79.73,275100
2013-07-31,RTKMP,D,0,79.75,79.89,77.25,77.99,599900
2013-08-01,RTKMP,D,0,77.79,78.77,77.05,77.49,658800
2013-08-02,RTKMP,D,0,77.49,78.08,76.82,77.96,466800
2013-08-05,RTKMP,D,0,77.56,78.7,77.51,78.2,87500
2013-08-06,RTKMP,D,0,78.0,79.48,78.0,78.89,109900
2013-08-07,RTKMP,D,0,78.79,79.0,78.1,78.86,104400
2013-08-08,RTKMP,D,0,79.2,79.2,77.03,77.69,85200
2013-08-09,RTKMP,D,0,77.8,77.99,77.45,77.79,61400
2013-08-12,RTKMP,D,0,77.8,77.8,76.0,77.13,443200
2013-08-13,RTKMP,D,0,77.21,77.95,76.96,76.96,237500
2013-08-14,RTKMP,D,0,77.18,78.12,76.9,77.95,69100
2013-08-15,RTKMP,D,0,77.99,77.99,76.5,77.6,83500
2013-08-16,RTKMP,D,0,76.5,79.89,76.22,77.84,248300
2013-08-19,RTKMP,D,0,76.94,77.4,75.8,76.46,151000
2013-08-20,RTKMP,D,0,75.8,76.77,75.4,76.48,105800
2013-08-21,RTKMP,D,0,76.39,76.97,75.25,76.0,98300
2013-08-22,RTKMP,D,0,75.74,77.53,75.01,77.4,162900
2013-08-23,RTKMP,D,0,77.09,77.96,76.7,77.22,64700
2013-08-26,RTKMP,D,0,77.08,77.5,76.1,76.79,78900
2013-08-27,RTKMP,D,0,76.79,76.88,75.48,75.49,150000
2013-08-28,RTKMP,D,0,75.39,75.39,74.2,74.2,506400
2013-08-29,RTKMP,D,0,74.5,76.0,73.6,73.64,205900
2013-08-30,RTKMP,D,0,73.69,74.39,72.2,72.21,374100
2013-09-02,RTKMP,D,0,71.76,73.89,71.11,71.97,196900
2013-09-03,RTKMP,D,0,72.4,73.7,72.01,72.51,216400
2013-09-04,RTKMP,D,0,72.7,73.52,71.98,73.25,340400
2013-09-05,RTKMP,D,0,73.25,73.98,71.72,72.85,586300
2013-09-06,RTKMP,D,0,72.9,73.22,72.3,72.99,653700
2013-09-09,RTKMP,D,0,72.7,73.65,72.34,73.04,654500
2013-09-10,RTKMP,D,0,73.38,74.74,73.25,73.39,630300
2013-09-11,RTKMP,D,0,73.51,73.78,72.9,73.4,677900
2013-09-12,RTKMP,D,0,73.59,74.5,72.34,72.49,671000
2013-09-13,RTKMP,D,0,72.6,73.2,71.82,72.03,368100
2013-09-16,RTKMP,D,0,72.39,72.86,71.83,71.97,563900
2013-09-17,RTKMP,D,0,71.96,72.47,71.86,72.05,501400
2013-09-18,RTKMP,D,0,72.04,72.23,71.56,71.67,328100
2013-09-19,RTKMP,D,0,72.2,72.24,71.33,71.95,788900
2013-09-20,RTKMP,D,0,71.94,72.14,70.59,71.47,471500
2013-09-23,RTKMP,D,0,71.29,71.68,70.31,70.49,382100
2013-09-24,RTKMP,D,0,70.51,70.84,69.4,70.35,579400
2013-09-25,RTKMP,D,0,70.54,71.59,70.36,71.16,437600
