DATE,TICKER,PER,TIME,OPEN,HIGH,LOW,CLOSE,VOL
2013-01-08,SBERP,D,0,68.99,70.78,68.72,70.38,17944900
2013-01-09,SBERP,D,0,70.36,71.3,70.12,70.69,15790900
2013-01-10,SBERP,D,0,70.87,71.0,70.5,70.9,12258200
2013-01-11,SBERP,D,0,70.91,71.67,70.72,71.32,15105700
2013-01-14,SBERP,D,0,71.67,72.7,71.65,72.47,18319300
2013-01-15,SBERP,D,0,72.3,72.6,70.79,71.5,19468600
2013-01-16,SBERP,D,0,71.34,72.12,70.91,72.1,8652200
2013-01-17,SBERP,D,0,71.8,73.44,71.72,72.91,22303600
2013-01-18,SBERP,D,0,73.31,74.68,73.25,74.68,19534100
2013-01-21,SBERP,D,0,74.68,75.1,73.73,74.77,10144100
2013-01-22,SBERP,D,0,74.77,74.98,72.61,73.59,21493100
2013-01-23,SBERP,D,0,73.79,75.27,73.03,75.04,19546300
2013-01-24,SBERP,D,0,74.8,74.8,73.9,74.53,13291600
2013-01-25,SBERP,D,0,74.25,75.1,74.14,75.1,9757500
2013-01-28,SBERP,D,0,75.31,77.3,75.31,77.25,19674900
2013-01-29,SBERP,D,0,77.1,78.31,76.71,78.27,24825200
2013-01-30,SBERP,D,0,78.53,79.75,77.6,78.27,23130400
2013-01-31,SBERP,D,0,77.78,78.75,76.92,78.11,26931200
2013-02-01,SBERP,D,0,78.67,78.97,76.36,76.83,20343000
2013-02-04,SBERP,D,0,77.28,77.5,75.33,75.33,10899300
2013-02-05,SBERP,D,0,75.2,76.45,75.02,76.22,12887400
2013-02-06,SBERP,D,0,76.57,77.92,75.11,76.3,23005300
2013-02-07,SBERP,D,0,76.03,77.13,75.51,75.86,18431000
2013-02-08,SBERP,D,0,76.12,76.77,75.16,76.69,13512600
2013-02-11,SBERP,D,0,76.81,78.15,76.7,77.21,17740200
2013-02-12,SBERP,D,0,77.2,78.41,76.75,78.15,21425700
2013-02-13,SBERP,D,0,78.54,79.4,78.15,79.3,17261300
2013-02-14,SBERP,D,0,79.19,80.76,77.69,77.73,26119700
2013-02-15,SBERP,D,0,78.01,78.07,75.77,76.3,12338500
2013-02-18,SBERP,D,0,76.25,77.1,75.7,76.87,10843100
2013-02-19,SBERP,D,0,76.91,78.3,76.74,78.28,12458100
2013-02-20,SBERP,D,0,78.45,78.67,76.84,76.87,8983300
2013-02-21,SBERP,D,0,76.2,76.68,74.92,76.15,20562000
2013-02-22,SBERP,D,0,76.2,76.65,74.4,74.82,14924000
2013-02-25,SBERP,D,0,75.25,75.25,73.85,74.82,17962700
2013-02-26,SBERP,D,0,73.92,73.97,72.85,72.9,18223500
2013-02-27,SBERP,D,0,73.1,73.47,72.37,73.04,14023800
2013-02-28,SBERP,D,0,73.56,74.35,73.15,74.34,15172300
2013-03-01,SBERP,D,0,74.01,74.09,72.6,73.4,13067000
2013-03-04,SBERP,D,0,73.1,73.45,72.1,72.44,11442400
2013-03-05,SBERP,D,0,72.93,74.55,72.91,74.0,12063700
2013-03-06,SBERP,D,0,74.49,75.33,74.2,75.0,10124100
2013-03-07,SBERP,D,0,74.75,75.8,74.71,75.65,9526100
2013-03-11,SBERP,D,0,75.97,77.07,75.95,76.45,9298100
