DATE,TICKER,PER,TIME,OPEN,HIGH,LOW,CLOSE,VOL
2013-01-10,USDCB,D,0,30.4215,30.4215,30.4215,30.4215,0
2013-01-11,USDCB,D,0,30.365,30.365,30.365,30.365,0
2013-01-12,USDCB,D,0,30.2537,30.2537,30.2537,30.2537,0
2013-01-15,USDCB,D,0,30.2607,30.2607,30.2607,30.2607,0
2013-01-16,USDCB,D,0,30.2556,30.2556,30.2556,30.2556,0
2013-01-17,USDCB,D,0,30.3399,30.3399,30.3399,30.3399,0
2013-01-18,USDCB,D,0,30.3431,30.3431,30.3431,30.3431,0
2013-01-19,USDCB,D,0,30.2065,30.2065,30.2065,30.2065,0
2013-01-22,USDCB,D,0,30.297,30.297,30.297,30.297,0
2013-01-23,USDCB,D,0,30.195,30.195,30.195,30.195,0
2013-01-24,USDCB,D,0,30.2292,30.2292,30.2292,30.2292,0
2013-01-25,USDCB,D,0,30.1648,30.1648,30.1648,30.1648,0
2013-01-26,USDCB,D,0,30.0451,30.0451,30.0451,30.0451,0
2013-01-29,USDCB,D,0,30.0782,30.0782,30.0782,30.0782,0
2013-01-30,USDCB,D,0,30.1513,30.1513,30.1513,30.1513,0
2013-01-31,USDCB,D,0,30.0277,30.0277,30.0277,30.0277,0
2013-02-01,USDCB,D,0,30.0161,30.0161,30.0161,30.0161,0
2013-02-02,USDCB,D,0,29.9966,29.9966,29.9966,29.9966,0
2013-02-05,USDCB,D,0,29.9251,29.9251,29.9251,29.9251,0
2013-02-06,USDCB,D,0,30.1231,30.1231,30.1231,30.1231,0
2013-02-07,USDCB,D,0,29.9598,29.9598,29.9598,29.9598,0
2013-02-08,USDCB,D,0,30.0496,30.0496,30.0496,30.0496,0
2013-02-09,USDCB,D,0,30.1575,30.1575,30.1575,30.1575,0
2013-02-12,USDCB,D,0,30.159,30.159,30.159,30.159,0
2013-02-13,USDCB,D,0,30.1713,30.1713,30.1713,30.1713,0
2013-02-14,USDCB,D,0,30.0692,30.0692,30.0692,30.0692,0
2013-02-15,USDCB,D,0,30.0773,30.0773,30.0773,30.0773,0
2013-02-16,USDCB,D,0,30.1139,30.1139,30.1139,30.1139,0
2013-02-19,USDCB,D,0,30.1258,30.1258,30.1258,30.1258,0
2013-02-20,USDCB,D,0,30.1277,30.1277,30.1277,30.1277,0
2013-02-21,USDCB,D,0,30.0502,30.0502,30.0502,30.0502,0
2013-02-22,USDCB,D,0,30.2337,30.2337,30.2337,30.2337,0
2013-02-23,USDCB,D,0,30.3596,30.3596,30.3596,30.3596,0
2013-02-26,USDCB,D,0,30.3368,30.3368,30.3368,30.3368,0
2013-02-27,USDCB,D,0,30.5889,30.5889,30.5889,30.5889,0
2013-02-28,USDCB,D,0,30.6202,30.6202,30.6202,30.6202,0
2013-03-01,USDCB,D,0,30.5124,30.5124,30.5124,30.5124,0
2013-03-02,USDCB,D,0,30.6381,30.6381,30.6381,30.6381,0
2013-03-05,USDCB,D,0,30.787,30.787,30.787,30.787,0
2013-03-06,USDCB,D,0,30.6963,30.6963,30.6963,30.6963,0
2013-03-07,USDCB,D,0,30.6214,30.6214,30.6214,30.6214,0
2013-03-08,USDCB,D,0,30.7628,30.7628,30.7628,30.7628,0
2013-03-12,USDCB,D,0,30.7576,30.7576,30.7576,30.7576,0
2013-03-13,USDCB,D,0,30.7499,30.7499,30.7499,30.7499,0
2013-03-14,USDCB,D,0,30.7209,30.7209,30.7209,30.7209,0
2013-03-15,USDCB,D,0,30.7769,30.7769,30.7769,30.7769,0
