DATE,GAZP,ROSN,SBERP,RTKMP,MOEX
2013-01-08,147.9,268.98,70.38,92.5,
2013-01-09,148.91,268.99,70.69,92.03,
2013-01-10,147.6,266.65,70.9,91.0,
2013-01-11,147.97,265.28,71.32,90.01,
2013-01-14,149.6,267.0,72.47,90.56,
2013-01-15,147.73,264.1,71.5,90.3,
2013-01-16,146.42,261.56,72.1,90.51,
2013-01-17,147.7,258.75,72.91,89.99,
2013-01-18,148.42,262.44,74.68,90.85,
2013-01-21,147.74,262.67,74.77,90.71,
2013-01-22,145.84,264.91,73.59,90.81,
2013-01-23,146.67,265.21,75.04,90.43,
2013-01-24,146.14,268.49,74.53,90.05,
2013-01-25,146.4,272.62,75.1,90.0,
2013-01-28,147.22,275.43,77.25,90.15,
2013-01-29,145.91,270.89,78.27,89.9,
2013-01-30,143.85,267.29,78.27,89.24,
2013-01-31,142.09,267.15,78.11,88.59,
2013-02-01,142.28,262.01,76.83,88.9,
2013-02-04,141.47,258.09,75.33,88.05,
2013-02-05,141.37,258.49,76.22,87.25,
2013-02-06,139.91,256.51,76.3,87.97,
2013-02-07,138.91,255.82,75.86,88.0,
2013-02-08,137.68,255.61,76.69,88.49,
2013-02-11,135.29,257.05,77.21,89.76,
2013-02-12,133.3,253.82,78.15,90.3,
2013-02-13,137.15,263.89,79.3,91.09,
2013-02-14,134.2,258.98,77.73,90.47,
2013-02-15,133.99,255.07,76.3,90.55,55.0
2013-02-18,135.9,253.5,76.87,90.74,56.02
2013-02-19,137.55,255.5,78.28,91.7,56.0
2013-02-20,137.06,251.89,76.87,92.25,55.4
2013-02-21,136.0,251.05,76.15,91.02,54.7
2013-02-22,136.81,252.06,74.82,90.31,54.5
2013-02-25,138.03,251.05,74.82,90.14,54.75
2013-02-26,136.5,248.26,72.9,89.2,54.4
2013-02-27,137.6,247.52,73.04,88.78,54.2
2013-02-28,137.4,244.01,74.34,91.49,53.89
2013-03-01,134.75,241.88,73.4,91.01,52.5
2013-03-04,133.03,241.55,72.44,94.29,52.8
2013-03-05,136.45,244.86,74.0,94.37,53.75
2013-03-06,134.85,247.61,75.0,94.79,53.8
2013-03-07,133.73,248.31,75.65,94.87,53.99
2013-03-11,136.6,248.34,76.45,94.39,54.0
2013-03-12,137.25,248.46,76.08,92.91,54.6
2013-03-13,140.56,246.63,75.25,93.43,54.55
2013-03-14,142.08,244.32,76.34,93.5,54.9
2013-03-15,144.5,242.54,76.4,93.25,55.0
2013-03-18,144.28,238.58,72.61,91.11,52.85
2013-03-19,142.34,236.4,72.9,91.15,51.96
2013-03-20,142.09,237.85,75.01,94.4,52.12
2013-03-21,142.32,242.24,74.91,90.87,52.13
2013-03-22,140.18,237.59,73.9,90.36,51.94
2013-03-25,138.6,241.59,73.3,90.6,51.92
2013-03-26,136.58,237.76,72.2,89.33,51.49
2013-03-27,136.36,238.61,72.4,89.53,51.26
2013-03-28,133.17,237.15,75.11,89.24,48.87
2013-03-29,134.08,238.66,75.12,87.89,49.48
2013-04-01,132.85,236.5,74.48,87.8,49.63
2013-04-02,130.81,236.5,74.66,87.75,48.59
2013-04-03,130.38,235.13,74.9,86.48,48.23
2013-04-04,131.29,236.96,74.45,85.11,48.43
2013-04-05,130.5,230.87,73.29,82.9,48.5
2013-04-08,129.01,225.97,73.07,82.6,47.52
2013-04-09,130.42,224.87,73.88,81.98,47.4
2013-04-10,129.53,225.95,73.93,81.99,46.87
2013-04-11,126.08,222.0,72.6,81.57,45.75
2013-04-12,126.7,223.41,69.59,80.8,45.45
2013-04-15,125.95,221.8,67.7,78.22,45.66
2013-04-16,124.15,219.84,67.67,77.31,43.39
2013-04-17,121.8,214.84,67.91,74.5,43.3
2013-04-18,120.45,213.5,68.49,74.0,43.03
2013-04-19,120.11,214.99,70.18,75.98,43.38
2013-04-22,119.9,217.29,69.93,80.53,43.55
2013-04-23,120.17,215.3,70.4,79.01,44.0
2013-04-24,124.7,219.7,70.65,79.0,44.46
2013-04-25,122.96,216.84,70.69,80.02,44.2
2013-04-26,122.82,214.8,70.57,82.48,44.69
2013-04-29,122.5,213.95,69.89,82.3,44.57
2013-04-30,124.15,214.38,72.38,82.58,44.41
2013-05-02,122.96,215.0,72.1,80.0,44.37
2013-05-03,128.7,219.89,72.89,81.7,44.98
2013-05-06,129.38,220.5,73.3,80.0,46.16
2013-05-07,130.55,218.73,74.72,81.68,47.5
2013-05-08,131.81,221.64,75.81,80.74,48.76
2013-05-10,132.89,222.82,75.5,80.44,48.6
2013-05-13,129.8,223.07,75.84,81.0,49.0
2013-05-14,125.54,223.71,75.81,81.19,49.08
2013-05-15,122.3,221.44,75.27,81.09,49.85
2013-05-16,122.81,218.3,74.95,79.33,50.1
2013-05-17,125.49,219.52,76.2,79.73,50.09
2013-05-20,126.4,219.3,77.3,79.11,51.0
2013-05-21,126.95,220.5,78.13,79.71,51.34
2013-05-22,127.39,224.3,79.8,80.89,54.45
2013-05-23,121.6,214.38,76.5,77.04,53.76
2013-05-24,120.0,212.59,75.67,75.4,52.51
2013-05-27,119.68,211.37,75.35,75.98,53.2
2013-05-28,120.87,213.72,77.48,77.09,53.79
2013-05-29,118.63,212.4,75.83,74.82,53.52
2013-05-30,119.81,215.38,76.84,73.3,53.5
2013-05-31,123.4,211.5,72.6,72.62,53.37
2013-06-03,120.75,210.2,71.54,73.33,52.68
2013-06-04,119.49,210.61,71.75,73.2,52.62
2013-06-05,118.22,208.9,70.7,72.0,52.5
2013-06-06,116.98,208.55,72.23,70.0,53.25
2013-06-07,117.25,215.22,73.4,70.79,53.53
2013-06-10,116.5,216.77,73.35,72.29,53.5
2013-06-11,111.91,208.5,70.45,70.01,52.18
2013-06-13,109.91,208.8,69.16,68.89,51.52
2013-06-14,109.8,210.87,70.4,69.0,51.56
2013-06-17,111.42,215.65,72.0,71.19,52.75
2013-06-18,112.98,218.2,72.52,73.3,52.62
2013-06-19,111.21,219.37,71.58,71.53,52.68
2013-06-20,108.24,220.53,69.16,70.01,50.5
2013-06-21,109.6,222.75,69.58,69.68,49.78
2013-06-24,107.23,227.0,68.02,69.71,51.47
2013-06-25,108.56,231.26,68.05,71.86,52.0
2013-06-26,110.05,228.5,69.76,70.8,52.72
2013-06-27,107.6,222.87,69.72,69.82,53.04
2013-06-28,109.1,227.8,69.96,71.0,53.21
2013-07-01,109.08,229.38,71.25,73.34,53.9
2013-07-02,109.2,227.89,71.02,75.47,54.15
2013-07-03,109.2,229.67,69.63,75.03,53.73
2013-07-04,113.17,230.03,70.8,75.88,53.9
2013-07-05,113.57,228.96,70.51,75.0,53.89
2013-07-08,114.0,233.29,70.66,73.24,54.05
2013-07-09,114.15,232.66,69.91,75.75,53.6
2013-07-10,113.6,233.89,69.6,74.39,53.3
2013-07-11,117.29,239.7,72.86,75.22,54.18
2013-07-12,121.85,247.09,74.75,77.3,53.9
2013-07-15,122.78,247.63,76.36,76.7,53.9
2013-07-16,124.78,245.98,76.25,78.0,53.86
2013-07-17,131.3,248.72,77.39,79.64,54.02
2013-07-18,130.21,244.97,75.24,78.18,53.93
2013-07-19,129.53,243.45,75.65,77.44,53.85
2013-07-22,128.85,243.25,74.94,77.36,53.94
2013-07-23,128.5,243.73,74.3,78.37,53.97
2013-07-24,127.17,242.65,74.43,78.6,54.24
2013-07-25,127.81,240.82,73.32,79.08,54.0
2013-07-26,128.84,240.87,73.0,78.93,54.43
2013-07-29,129.4,239.1,73.1,80.96,55.3
2013-07-30,129.6,236.1,73.93,79.73,56.06
2013-07-31,128.61,234.5,74.62,77.99,56.28
2013-08-01,130.21,238.18,74.86,77.49,60.5
2013-08-02,128.45,237.6,75.41,77.96,59.0
2013-08-05,128.87,238.91,75.8,78.2,59.9
2013-08-06,126.1,233.9,73.5,78.89,56.4
2013-08-07,124.86,231.94,72.72,78.86,55.77
2013-08-08,125.18,228.88,72.1,77.69,56.04
2013-08-09,128.24,233.25,73.12,77.79,56.1
